,Título,Género,Subgénero,Enlace,Tiene Letra,Tiene Partitura,Tiene Video,Tiene Audio,Género_idx,Downloaded
143,Adiós arrabal,Tango,Tango,https://www.todotango.com/musica/tema/1020/Adios-arrabal/,True,True,False,True,7,False
144,Adiós Carlitos,Tango,Tango,https://www.todotango.com/musica/tema/4649/Adios-Carlitos/,True,False,False,False,7,True
145,Adiós Chantecler,Tango,Tango,https://www.todotango.com/musica/tema/3048/Adios-Chantecler/,True,False,False,True,7,False
146,Adiós corazón,Tango,Tango,https://www.todotango.com/musica/tema/1383/Adios-corazon/,True,True,False,True,7,False
148,Adiós maestro,Tango,Tango,https://www.todotango.com/musica/tema/2218/Adios-maestro/,True,False,False,False,7,True
149,Adiós marinero,Tango,Tango,https://www.todotango.com/musica/tema/2515/Adios-marinero/,True,False,False,True,7,False
150,Adiós mi barrio,Tango,Tango,https://www.todotango.com/musica/tema/4010/Adios-mi-barrio/,True,False,False,False,7,True
151,Adiós muchachos,Tango,Tango,https://www.todotango.com/musica/tema/596/Adios-muchachos/,True,True,True,True,7,False
152,Adiós Nonino,Tango,Tango,https://www.todotango.com/musica/tema/44/Adios-Nonino/,True,True,True,True,7,False
153,Adiós pampa mía,Tango,Tango,https://www.todotango.com/musica/tema/1240/Adios-pampa-mia/,True,True,True,True,7,False
154,Adiós para siempre,Tango,Tango,https://www.todotango.com/musica/tema/2623/Adios-para-siempre/,True,False,False,False,7,True
155,Adiós para siempre [b],Tango,Tango,https://www.todotango.com/musica/tema/1878/Adios-para-siempre-[b]/,True,False,False,False,7,True
156,Adiós París,Tango,Tango,https://www.todotango.com/musica/tema/7261/Adios-Paris/,True,True,False,False,7,True
157,Adiós pueblito,Tango,Tango,https://www.todotango.com/musica/tema/6255/Adios-pueblito/,True,True,False,False,7,True
158,Adiós pueblo,Tango,Tango,https://www.todotango.com/musica/tema/1697/Adios-pueblo/,True,True,False,False,7,True
160,Adiós te vas,Tango,Tango,https://www.todotango.com/musica/tema/2353/Adios-te-vas/,True,False,False,False,7,True
162,Adiós… adiós corazón,Tango,Tango,https://www.todotango.com/musica/tema/1337/Adios-adios-corazon/,True,False,False,False,7,True
163,Adolescencia,Tango,Tango,https://www.todotango.com/musica/tema/6635/Adolescencia/,True,False,False,False,7,True
164,Adónde va,Tango,Tango,https://www.todotango.com/musica/tema/9730/Adonde-va/,True,False,False,False,7,True
